ID;X1;Y1;X2;Y2;length;length_unit;zone;speed;CAR;LDV;HDV;BUS;VEHICLETYPE;roadtype;pollutant;emissionfactor;emission_factor_unit;emission;emission_unit;fleet
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;CAR;U;NOX;3.701876739227052E-4;kg/vkm;2.9446105661597857;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;LDV;U;NOX;8.626055611834648E-4;kg/vkm;0.2398019191965475;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;HDV;U;NOX;0.002133317120772807;kg/vkm;1.4085083747854452;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;BUS;U;NOX;0.00377974137509014;kg/vkm;0.0;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;CAR;U;NO2;1.1946856774315212E-4;kg/vkm;0.9502974617515627;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;LDV;U;NO2;3.4015483108394093E-4;kg/vkm;0.09456208606630771;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;HDV;U;NO2;2.680043263813635E-4;kg/vkm;0.17694806576630087;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;BUS;U;NO2;4.5892204202847413E-4;kg/vkm;0.0;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;CAR;U;PM25;2.0917402514392446E-5;kg/vkm;0.16638480640864867;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;LDV;U;PM25;5.74877984127047E-5;kg/vkm;0.01598144622536092;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;HDV;U;PM25;9.076142207800622E-5;kg/vkm;0.059924622485567534;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;BUS;U;PM25;1.146074173463002E-4;kg/vkm;0.0;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;CAR;U;PM10;3.4543686848683267E-5;kg/vkm;0.27477334458733527;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;LDV;U;PM10;7.603530441270467E-5;kg/vkm;0.021137600712711254;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;HDV;U;PM10;1.6845242395012214E-4;kg/vkm;0.11121958736294398;kg;default
1275;4957282.16;2938295.11;4957298.19;2938283.82;19.59997709727778;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;BUS;U;PM10;1.7647785670882373E-4;kg/vkm;0.0;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;CAR;U;NOX;3.848752892596587E-4;kg/vkm;175.20019316873328;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;LDV;U;NOX;8.773157796686004E-4;kg/vkm;51.72514756424393;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;HDV;U;NOX;0.00218903107670101;kg/vkm;257.0931704919932;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;BUS;U;NOX;0.0039114789774049785;kg/vkm;0.0;kg;default
