year	month	day	hour	O3 (ug/m3)	NOX (ug/m3)	NO2 (ug/m3)	PM25 (ug/m3)	PM10 (ug/m3)
2015	1	1	0	16.150378893	11.3604531288	11.3604531288	21.5319375992	20.776684761
2015	1	1	1	19.1014549611	13.09963144	13.09963144	23.4033794197	25.4338074311
2015	1	1	2	18.7521333694	13.1219758987	13.1219758987	20.6680740448	18.5864467621
2015	1	1	3	22.6353970061	14.0242505074	14.0242505074	20.3313989639	20.8356537819
2015	1	1	4	24.9123333927	14.0229134148	14.0229134148	21.498398304	21.4705791473
2015	1	1	5	24.577688694	12.2346332736	12.2346332736	19.7787532806	18.8524738069
2015	1	1	6	29.4279379845	11.9304050885	11.9304050885	17.9532895088	16.5940885544
2015	1	1	7	28.7890990716	11.7711851597	11.7711851597	14.5579929352	15.6792519997
2015	1	1	8	26.9627151489	12.3816686439	12.3759763241	14.1277315236	15.1140477657
2015	1	1	9	29.4112348557	11.9787972072	11.3645632627	14.1250210829	13.8681976278
2015	1	1	10	29.4764158901	10.7967551592	9.64859247208	12.9743800163	13.9288041592
2015	1	1	11	32.3368396759	9.50411764899	8.44554176153	11.3414006233	12.5820398331
2015	1	1	12	35.9965190887	8.63866764733	7.62537968159	11.4568139713	13.1058409214
2015	1	1	13	36.8319635391	8.66145961165	7.67740097391	9.64478969574	11.6734087626
2015	1	1	14	39.034201622	8.61701916593	7.75617933273	11.207119047	11.9585899673
2015	1	1	15	43.2476510379	7.96708411999	7.40116429329	11.6279505361	11.2796764374
2015	1	1	16	47.291182518	7.49174539565	7.42246030163	10.8776081647	10.3089341725
2015	1	1	17	49.5064197933	7.6873606662	7.6873606662	10.7567959121	10.0545269197
2015	1	1	18	54.1828646898	5.65252041817	5.65252041817	8.08865249157	9.51738882065
2015	1	1	19	50.2865272794	8.62191319466	8.62191319466	7.7476221566	10.5123164654
2015	1	1	20	44.9909020265	7.71274161339	7.71274161339	8.16606808477	11.2074325085
2015	1	1	21	47.1319665909	7.94597004068	7.94597004068	8.39091935268	11.9669251442
2015	1	1	22	52.0318586957	7.86726379395	7.86726379395	8.50537015892	11.3040778511
2015	1	1	23	50.2998925147	6.95074272156	6.95074272156	8.41908235945	11.6108047962
