ID	X1	Y1	X2	Y2	CAR	LDV	HDV	BUS	road type	Speed	Height
162381	5.1848214	50.1262734	5.1854077	50.1261457	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
162382	5.1843752	50.1355519	5.1843014	50.1356501	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
162432	5.171314	50.1149997	5.1716676	50.1160545	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
162433	5.1716676	50.1160545	5.1769591	50.1195584	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
162434	5.1769591	50.1195584	5.1818386	50.1256343	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
162439	5.1854077	50.1261457	5.1857302	50.1260724	5999415.522	784651.4839	516005.4246	70023.14455	R	30	0
162468	5.1642373	50.1123773	5.1660062	50.1127994	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
162469	5.1147105	50.1711137	5.1258532	50.1733168	218055.9288	28519.09615	18754.83399	2545.074894	R	90	0
162470	5.1258532	50.1733168	5.1268042	50.1725259	218055.9288	28519.09615	18754.83399	2545.074894	R	90	0
162471	5.1268042	50.1725259	5.125787	50.1701855	218055.9288	28519.09615	18754.83399	2545.074894	R	90	0
162472	5.125787	50.1701855	5.1306786	50.1693877	218055.9288	28519.09615	18754.83399	2545.074894	R	90	0
162473	5.1247817	50.1890398	5.1217416	50.1866102	39653.07999	5186.14654	3410.53296	462.8173098	R	82	0
162474	5.1217416	50.1866102	5.1205077	50.1807197	39653.07999	5186.14654	3410.53296	462.8173098	R	82	0
162475	5.1205077	50.1807197	5.1176898	50.1742811	39653.07999	5186.14654	3410.53296	462.8173098	R	82	0
162476	5.1176898	50.1742811	5.1130863	50.1712322	39653.07999	5186.14654	3410.53296	462.8173098	R	82	0
162522	5.1887361	50.1263845	5.1883179	50.1258763	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
162574	5.189473	50.1272951	5.1891532	50.1268915	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
162604	5.1137968	50.1540666	5.1134603	50.152869	29741.58862	3889.842529	2558.052698	347.1337419	R	50	0
162617	5.1895987	50.1299505	5.1878101	50.1313812	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
162643	5.1042493	50.1355793	5.1133005	50.1214585	191687.3991	25070.40921	16486.89566	2237.310352	R	82	0
